Probe,Female CBZ C1,Female CBZ C2,Female CBZ C3,Female CBZ L1,Female CBZ L2,Female CBZ  L3,Female CBZ H1,Female CBZ H2,Female CBZ H3
A_15_P101039,0,0,0,1,1,1,1,1,1
A_15_P101040,0,0,0,1,1,1,1,1,1
A_15_P101041,0,0,0,1,1,1,1,1,1
A_15_P101042,0,0,0,1,1,1,1,1,1
A_15_P101043,0,0,0,1,1,1,1,1,1
A_15_P101046,0,0,0,1,1,1,1,1,1
A_15_P101048,0,0,0,1,1,1,1,1,1
A_15_P101049,0,0,0,1,1,1,1,1,1
A_15_P101050,0,0,0,1,1,1,1,1,1
A_15_P101051,0,0,0,1,1,1,1,1,1
A_15_P101053,0,0,0,1,1,1,1,1,1
A_15_P101054,0,0,0,1,1,1,1,1,1
A_15_P101056,0,0,0,1,1,1,1,1,1
A_15_P101060,0,0,0,1,1,1,1,1,1
A_15_P101062,0,0,0,1,1,1,1,1,1
